Category,Topic,X7 xDrive40d M Sport
Engine and Performance,Engine type,BMW TwinPower Turbo 6-cylinder diesel engine
Engine and Performance,Displacement (cm³),"2,993"
Engine and Performance,Engine power (kW/hp/rpm),"250 / 340 / 4,400"
Engine and Performance,Engine torque (Nm/rpm),"700 / 1,750 - 2,250"
Engine and Performance,Electric motor power (kW/hp),9 / 12
Engine and Performance,System output (kW/hp),259 / 352
Engine and Performance,System torque (Nm),720
Engine and Performance,Top speed (km/h),245
Engine and Performance,0 - 100 km/h (s),5.9
Fuel Consumption and CO2 Emission,Combined fuel consumption from ECO Sticker result (km/l),13.2
Fuel Consumption and CO2 Emission,Combined CO₂ (g/km),200
Wheels and Tyres,Light alloy wheels,"23"" BMW Individual light alloy wheels V-spoke Bicolour"
Wheels and Tyres,Tyre size,Front: 9.5 J × 23 / tyres 275/35 R 23 Rear: 10.5 J × 23 / tyres 315/30 R 23
Dimension,Length / width / height (mm),"5,181 / 2,000 / 1,835"
Dimension,Luggage capacity (l),"300 - 2,120"
Dimension,Curb weight (kg),"2,565"
Drivetrain and Technology,8-speed Steptronic Sport transmission,■
Drivetrain and Technology,Adaptive 2-axle air suspension,■
Drivetrain and Technology,Servotronic,■
Drivetrain and Technology,Driving Assistant Professional,■
Drivetrain and Technology,xDrive,■
Drivetrain and Technology,Integral Active Steering,■
Drivetrain and Technology,Executive Drive Pro,■
Drivetrain and Technology,BMW Head-up display,■
Drivetrain and Technology,Parking Assistant Professional,■
Drivetrain and Technology,M sport exhaust system,■
Exterior Equipment,BMW kidney 'Iconic Glow',■
Exterior Equipment,Adaptive LED headlights,■
Exterior Equipment,High-beam assistant,■
Exterior Equipment,M Sport brake,■
Exterior Equipment,Comfort access system,■
Exterior Equipment,Soft-close function for doors,■
Exterior Equipment,Panorama glass roof Sky Lounge,■
Exterior Equipment,M Aerodynamics package,■
Exterior Equipment,M high-gloss Shadow Line,■
Exterior Equipment,M Roof rails high-gloss Shadow Line,■
Exterior Equipment,Aluminium running board,■
Interior Equipment,BMW Individual extended leather trim 'Merino',■
Interior Equipment,Seat heating for driver and front passenger,■
Interior Equipment,"Comfort seats front, electrically adjustable",■
Interior Equipment,Massage function front,■
Interior Equipment,"Active seat ventilation, front",■
Interior Equipment,M leather steering wheel,■
Interior Equipment,Ambient light,■
Interior Equipment,M headliner Alcantara anthracite,■
Interior Equipment,Cupholder Temperate,■
Interior Equipment,BMW Individual instrument panel finished in leather,■
Interior Equipment,Interior trim finishers in fine-wood trim ‘Fineline’ Black with metal effect high-gloss,■
Interior Equipment,Glass application ‘CraftedClarity’ for interior elements,■
Interior Equipment,Roller sunblind for rear side windows,■
Interior Equipment,5-Zone Automatic air conditioning,■
Interior Equipment,Luggage compartment package,■
Interior Equipment,M seat belts,■
Interior Equipment,Travel & Comfort System,■
Entertainment and Communication,BMW Live Cockpit Professional,■
Entertainment and Communication,BMW ConnectedDrive,■
Entertainment and Communication,Bowers & Wilkins Diamond Surround Sound System,■
Entertainment and Communication,Smartphone integration,■
Safety,Airbag for driver and front passenger,■
Safety,Side airbags for driver and front passenger,■
Safety,Head airbags for 1ˢᵗ and 2ⁿᵈ seat row,■
Safety,Teleservices,■
Safety,Intelligent Emergency Call,■
Safety,Dynamic Stability Control (DSC),■
Safety,Dynamic Traction Control (DTC),■
Safety,Anti-lock Brake System (ABS),■
Safety,Crash sensor,■
Safety,Side impact protection,■
Safety,Active Protection,■
Safety,Attentiveness assistant,■
Safety,Tyre Pressure Monitoring System,■
Safety,Park Distance Control (PDC),■
Safety,Front Collision Warning with brake intervention consists of Collision,■
Safety,Pedestrian Warning with city braking function,■
Safety,Lane Departure Warning with lane return,■
Safety,Lane Change Warning,■
Safety,Rear crossing traffic warning,■
Safety,Rear Collision Prevention,■
Safety,Active cruise control with Stop&Go function,■
Safety,Steering and Lane Control Assistant,■
Safety,Emergency Stop Assistant,■
Safety,Lane Change Assistant,■
Safety,Lane Keeping Assistant with active side collision protection,■
Safety,Front crossing traffic warning,■
Safety,Evasion Assistant,■
Safety,Crossroads Warning with city braking function,■
Line / package,M Sport,■
Line / package,M Sport Package Pro,■
Paintwork & Upholstery,Black Sapphire Metallic,"BMW Individual extended leather trim 'Merino' - Tartufo, BMW Individual extended leather trim 'Merino' - Black"
Paintwork & Upholstery,Mineral White Metallic,"BMW Individual extended leather trim 'Merino' - Tartufo, BMW Individual extended leather trim 'Merino' - Black"
Paintwork & Upholstery,Brooklyn Grey Metallic,"BMW Individual extended leather trim 'Merino' - Tartufo, BMW Individual extended leather trim 'Merino' - Black"
Document References,Publication Date,10 July 2024
Document References,Package Code (Local Pack),(Z9X)
Notes,"* The privilege of purchasing package up to 5 years unlimited mileage warranty and 5 years of maintenance or 100,000 km. (whichever comes first).",-
Notes,"BMW reserves the right to change all information, specifications and illustrations without prior notice and is not responsible for typographical errors.",-
