Category,Topic,i5 eDrive40 M Sport (Inspiring),i5 eDrive40 M Sport,i5 M60 xDrive
อุปกรณ์ภายนอก,คาลิเปอร์เบรกดีไซน์ M Sport สีแดงเงา,-,-,■
อุปกรณ์ภายนอก,ชุดตกแต่งภายนอกแบบ M Sport,■,■,■
อุปกรณ์ภายนอก,ระบบเปิด-ปิดบานประตูท้ายอัตโนมัติด้วยระบบไฟฟ้า,■,■,■
อุปกรณ์ภายนอก,ระบบปลดล็อกประตูอัจฉริยะ (Comfort Access System),■,■,■
อุปกรณ์ภายใน,ระบบระบายอากาศสำหรับเบาะนั่งตอนหน้า,-,■,■
อุปกรณ์ภายใน,พวงมาลัยหุ้มหนังดีไซน์ M,■,■,■
อุปกรณ์ภายใน,เข็มขัดนิรภัยดีไซน์ M,-,-,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าปรับไฟฟ้าพร้อมระบบจำตำแหน่งเฉพาะฝั่งคนขับ,■,-,-
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าแบบ Sport,■,-,-
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าแบบ Comfort ปรับไฟฟ้า,-,■,■
อุปกรณ์ภายใน,เพดานหลังคาภายในสี Anthracite,■,■,■
อุปกรณ์ภายใน,ภายในตกแต่งดีไซน์ M Sport,■,■,■
อุปกรณ์ภายใน,ภายในตกแต่งด้วยสี Dark Silver M ผสมกับอะลูมิเนียมลาย Rhombicle,■,■,-
อุปกรณ์ภายใน,ภายในตกแต่งด้วยสี Dark Silver M ผสมกับ Carbon Fibre ลายวัสดุสีเงินแบบ M,-,-,■
อุปกรณ์ภายใน,ภายในตกแต่งด้วยผลึกแก้ว 'CraftedClarity',■,■,■
อุปกรณ์ภายใน,ระบบ Travel & Comfort,■,■,■
อุปกรณ์ภายใน,ชุดไฟส่องสว่างภายในและภายนอกห้องโดยสาร (Ambient Light),■,■,■
อุปกรณ์ภายใน,ม่านบังแดดที่ประตูหลังและกระจกหลัง,■,■,■
อุปกรณ์ภายใน,ระบบปรับอากาศอัตโนมัติแบบ 4 โซน,■,■,■
อุปกรณ์ภายใน,ระบบกล้องภายในรถ,■,■,■
ข้อมูลเอกสารอ้างอิง,วันที่พิมพ์เอกสาร,19 ตุลาคม 2566,19 ตุลาคม 2566,19 ตุลาคม 2566
ข้อมูลเอกสารอ้างอิง,รหัสแพ็กเกจ (Local Pack),(Z6A),"(ZIS, Z4E)","(ZIR, Z4D)"
ระบบความบันเทิงและการสื่อสาร,BMW Live Cockpit Professional,■,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบเครื่องเสียง HiFi loudspeaker Harmon Kardon,■,■,-
ระบบความบันเทิงและการสื่อสาร,ระบบเสียงรอบทิศทางคุณภาพสูง Bowers & Wilkins,-,-,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW ConnectedDrive,■,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW Connected Package Professional,■,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบเชื่อมต่อ Smartphone,■,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบจำลองเสียงเครื่องยนต์ Iconic sounds electric,■,■,■
ระบบความบันเทิงและการสื่อสาร,BMW Interaction Bar,■,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบสั่งงานอัจฉริยะ BMW Natural Interaction,■,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบ eSIM ส่วนบุคคล(Personal eSIM),■,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบชาร์จโทรศัพท์แบบไร้สาย,■,■,■
ความปลอดภัย,ถุงลมนิรภัยสำหรับคนขับและผู้โดยสารตอนหน้า,■,■,■
ความปลอดภัย,ถุงลมนิรภัยด้านข้างสำหรับคนขับและผู้โดยสารตอนหน้า,■,■,■
ความปลอดภัย,ถุงลมนิรภัยศีรษะสำหรับผู้โดยสารตอนหน้าและหลัง(ยกเว้นผู้โดยสารตอนหลังกลาง),■,■,■
ความปลอดภัย,ถุงลมนิรภัยกลางห้องโดยสาร (บริเวณเบาะคนขับ),■,■,■
ความปลอดภัย,ระบบ Teleservices,■,■,■
ความปลอดภัย,ปุ่มโทรออกฉุกเฉิน (Intelligent Emergency Call),■,■,■
ความปลอดภัย,ตัวยึดคาร์ซีทสำหรับเด็ก ISOFIX,■,■,■
ความปลอดภัย,ระบบควบคุมเสถียรภาพการขับขี่ (DSC),■,■,■
ความปลอดภัย,ระบบป้องกันล้อล็อกขณะเบรก (ABS),■,■,■
ความปลอดภัย,ระบบช่วยเสริมแรงเบรกอัตโนมัติ (Brake Assist),■,■,■
ความปลอดภัย,ระบบควบคุมแรงดันเบรกแบบแปรผัน (DBC),■,■,■
ความปลอดภัย,เซนเซอร์ควบคุมระบบความปลอดภัยเมื่อเกิดการชน (Crash Sensor),■,■,■
ความปลอดภัย,ระบบสร้างเสียงจำลองเตือนผู้ใช้งานรอบข้าง,■,■,■
ความปลอดภัย,ระบบป้องกันการกระแทกจากด้านข้าง (Side Impact Protection),■,■,■
ความปลอดภัย,เซนเซอร์ควบคุมระยะการจอดด้านหน้าและหลัง,■,■,■
ชุดตกแต่งพิเศษ,ชุดตกแต่งพิเศษ M Sport,■,■,-
ชุดตกแต่งพิเศษ,ชุดตกแต่ง M Sport Pro,-,-,■
Paintwork / สีตัวถังและวัสดุภายใน,Brooklyn Grey Metallic,"Veganza perforated and quilted - Black, Veganza perforated and quilted - Espresso Brown","Veganza perforated and quilted - Black, Veganza perforated and quilted - Espresso Brown","BMW Individual leather 'Merino' - Black/Atlas Grey, BMW Individual leather 'Merino' - Copper Brown/Atlas Grey"
Paintwork / สีตัวถังและวัสดุภายใน,Fire Red Metallic,"Veganza perforated and quilted - Black, Veganza perforated and quilted - Espresso Brown","Veganza perforated and quilted - Black, Veganza perforated and quilted - Espresso Brown","BMW Individual leather 'Merino' - Black/Atlas Grey, BMW Individual leather 'Merino' - Copper Brown/Atlas Grey"
Paintwork / สีตัวถังและวัสดุภายใน,Cape York Green Metallic,"Veganza perforated and quilted - Black, Veganza perforated and quilted - Espresso Brown","Veganza perforated and quilted - Black, Veganza perforated and quilted - Espresso Brown","BMW Individual leather 'Merino' - Black/Atlas Grey, BMW Individual leather 'Merino' - Copper Brown/Atlas Grey"
Paintwork / สีตัวถังและวัสดุภายใน,Phytonic Blue Metallic,"Veganza perforated and quilted - Black, Veganza perforated and quilted - Espresso Brown","Veganza perforated and quilted - Black, Veganza perforated and quilted - Espresso Brown",-
Paintwork / สีตัวถังและวัสดุภายใน,Black Sapphire Metallic,"Veganza perforated and quilted - Black, Veganza perforated and quilted - Espresso Brown","Veganza perforated and quilted - Black, Veganza perforated and quilted - Espresso Brown","BMW Individual leather 'Merino' - Black/Atlas Grey, BMW Individual leather 'Merino' - Copper Brown/Atlas Grey"
Paintwork / สีตัวถังและวัสดุภายใน,Mineral White Metallic,"Veganza perforated and quilted - Black, Veganza perforated and quilted - Espresso Brown","Veganza perforated and quilted - Black, Veganza perforated and quilted - Espresso Brown","BMW Individual leather 'Merino' - Black/Atlas Grey, BMW Individual leather 'Merino' - Copper Brown/Atlas Grey"
Paintwork / สีตัวถังและวัสดุภายใน,Frozen Deep Grey Metallic,-,-,"BMW Individual leather 'Merino' - Black/Atlas Grey, BMW Individual leather 'Merino' - Copper Brown/Atlas Grey"
Paintwork / สีตัวถังและวัสดุภายใน,Frozen Pure Grey Metallic,-,-,"BMW Individual leather 'Merino' - Black/Atlas Grey, BMW Individual leather 'Merino' - Copper Brown/Atlas Grey"
Paintwork / สีตัวถังและวัสดุภายใน,Tanzanite Blue Metallic,-,-,"BMW Individual leather 'Merino' - Black/Atlas Grey, BMW Individual leather 'Merino' - Copper Brown/Atlas Grey"
