Category,Topic,iX3 50 xDrive M Sport
การชาร์จแบบกระแสตรง (DC),รองรับการชาร์จแบบกระแสตรง (DC) สูงสุด (กิโลวัตต์),400
ระยะเวลาในการชาร์จจาก 10 - 80%,DC charging vehicle at 125A by EVSE,56 นาที
ระยะเวลาในการชาร์จจาก 10 - 80%,DC charging vehicle at 250A by EVSE,28 นาที
ระยะเวลาในการชาร์จจาก 10 - 80%,DC charging vehicle at 500A by EVSE,22 นาที
ระยะเวลาในการชาร์จจาก 10 - 80%,DC charging vehicle at 800A by EVSE,21 นาที
ระบบขับเคลื่อนและเทคโนโลยี,เกียร์อัตโนมัติ,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบขับเคลื่อนสี่ล้อด้วยไฟฟ้า BMW xDrive Electric (BMW xDrive electric all-wheel drive),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่รุ่น Plus (Driving Assistant Plus),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยนำรถเข้าที่จอดอัตโนมัติรุ่น Plus (Parking Assistant Plus),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบควบคุมสมรรถนะการขับขี่ (BMW Dynamic Performance Control),■
อุปกรณ์ภายนอก,ชุดตกแต่งภายนอกแบบ Iconic Glow,■
อุปกรณ์ภายนอก,ระบบไฟหน้า LED อัจฉริยะ,■
อุปกรณ์ภายนอก,หลังคากระจกพาโนรามา เคลือบสารกันรังสี UV,■
อุปกรณ์ภายนอก,คาลิเปอร์เบรกดีไซน์ M Sport สี dark blue metallic,■
อุปกรณ์ภายนอก,ชุดตกแต่งภายนอกแบบ M Sport,■
อุปกรณ์ภายนอก,ระบบเปิด-ปิดบานประตูท้ายอัตโนมัติด้วยระบบไฟฟ้า,■
อุปกรณ์ภายนอก,ระบบปลดล็อกประตูอัจฉริยะ (Comfort Access System),■
อุปกรณ์ภายนอก,กระจกมองข้างปรับไฟฟ้าพร้อมระบบตัดแสงอัตโนมัติฝั่งคนขับ,■
อุปกรณ์ภายนอก,ฝาชาร์จไฟฟ้าอัจฉริยะ,■
อุปกรณ์ภายนอก,ช่องเก็บสัมภาระด้านหน้า,■
อุปกรณ์ภายใน,พวงมาลัยดีไซน์ M,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าแบบ multifunctional,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าปรับไฟฟ้า 8 ทิศทางพร้อมระบบจำตำแหน่ง,■
อุปกรณ์ภายใน,ฟังก์ชันนวดผ่อนคลายสำหรับผู้โดยสารตอนหน้า,■
อุปกรณ์ภายใน,ระบบ Travel & Comfort,■
อุปกรณ์ภายใน,พนักพิงเบาะหลังปรับเอนได้,■
อุปกรณ์ภายใน,ชุดไฟส่องสว่างภายในและภายนอกห้องโดยสาร (Ambient Light),■
อุปกรณ์ภายใน,ระบบปรับอากาศอัตโนมัติแบบ 3 โซน,■
อุปกรณ์ภายใน,ภายในตกแต่งดีไซน์ M Sport,■
ระบบความบันเทิงและการสื่อสาร,BMW Panoramic iDrive,■
ระบบความบันเทิงและการสื่อสาร,จอสะท้อนกระจก BMW Panoramic Vision,■
ระบบความบันเทิงและการสื่อสาร,ระบบ Head-up display แบบ 3D,■
ระบบความบันเทิงและการสื่อสาร,ระบบเครื่องเสียง HiFi loudspeaker Harman Kardon,■
ระบบความบันเทิงและการสื่อสาร,ระบบชาร์จโทรศัพท์แบบไร้สาย,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW ConnectedDrive,■
ความปลอดภัย,ถุงลมนิรภัยสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยด้านข้างสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยศีรษะสำหรับผู้โดยสารตอนหน้าและหลัง (ยกเว้นผู้โดยสารแถวหลังตอนกลาง),■
ความปลอดภัย,ถุงลมนิรภัยกลางห้องโดยสาร (บริเวณเบาะคนขับ),■
ความปลอดภัย,ระบบ Teleservices,■
ความปลอดภัย,ปุ่มโทรออกฉุกเฉิน (Intelligent Emergency Call),■
ความปลอดภัย,ตัวยึดคาร์ซีทสำหรับเด็ก ISOFIX,■
ความปลอดภัย,ระบบควบคุมเสถียรภาพการขับขี่ (DSC),■
ความปลอดภัย,ระบบป้องกันล้อล็อกขณะเบรก (ABS),■
ความปลอดภัย,ระบบควบคุมแรงดันเบรกแบบแปรผัน (DBC),■
ความปลอดภัย,ระบบสร้างเสียงจำลองเตือนผู้ใช้ถนนรอบข้าง,■
ความปลอดภัย,ชุดปะยางฉุกเฉินรุ่น Plus,■
ความปลอดภัย,ระบบตรวจวัดลมยาง,■
ความปลอดภัย,ระบบเตือนรถออกนอกเลน,■
ความปลอดภัย,ระบบเตือนการเปลี่ยนเลน,■
ความปลอดภัย,ระบบช่วยบังคับเลี้ยวฉุกเฉิน,■
ความปลอดภัย,ระบบช่วยหลบหลีกฉุกเฉิน,■
ความปลอดภัย,ระบบช่วยหยุดรถฉุกเฉิน,■
ความปลอดภัย,ระบบช่วยเบรกฉุกเฉิน,■
ความปลอดภัย,ระบบป้องกันการชนด้านหลัง,■
ความปลอดภัย,ระบบเตือนอาการเหนื่อยล้าจากการขับขี่ พร้อมช่วยหยุดรถฉุกเฉิน,■
ความปลอดภัย,ระบบช่วยเตือนก่อนออกจากรถ,■
ความปลอดภัย,ระบบช่วยเบรกฉุกเฉินขณะถอยหลัง,■
ความปลอดภัย,ระบบตรวจจับระยะห่างขณะจอดรถ,■
ความปลอดภัย,ระบบตรวจจับระยะห่างขณะจอดรถ พร้อมช่วยเบรกฉุกเฉิน,■
ความปลอดภัย,กล้องแสดงภาพด้านหลัง พร้อมมุมมองแบบ Panoramic,■
ความปลอดภัย,ระบบช่วยนำรถเข้าที่จอดอัตโนมัติ,■
ความปลอดภัย,ระบบช่วยถอยหลังอัตโนมัติ,■
ความปลอดภัย,ระบบช่วยรักษาระยะห่างจากรถคันหน้า,■
ความปลอดภัย,ระบบช่วยควบคุมรถให้อยู่ในช่องทางเดินรถ,■
ชุดตกแต่งพิเศษ,ชุดตกแต่ง M Sport,■
Paintwork / สีตัวถังและวัสดุภายใน,Ocean Wave Blue Metallic,Interior design Contemporary - Black bicolour
Paintwork / สีตัวถังและวัสดุภายใน,Brooklyn Grey Metallic,Interior design Contemporary - Castanea bicolour
Paintwork / สีตัวถังและวัสดุภายใน,Polarised Grey Metallic,Interior design Contemporary - Castanea bicolour
Paintwork / สีตัวถังและวัสดุภายใน,Black Sapphire Metallic,Interior design Contemporary - Castanea bicolour
Paintwork / สีตัวถังและวัสดุภายใน,Alpine White Solid,Interior design Contemporary - Castanea bicolour
Paintwork / สีตัวถังและวัสดุภายใน,Space Silver Metallic,Interior design Contemporary - Castanea bicolour
ข้อมูลเอกสารอ้างอิง,วันที่พิมพ์เอกสาร,19 มีนาคม 2569
ข้อมูลเอกสารอ้างอิง,รหัสแพ็กเกจ (Local Pack),(ZKS)
