Category,Topic,530e Inspiring,520d M Sport,530e M Sport
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าแบบ Comfort ปรับไฟฟ้า,-,-,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าปรับไฟฟ้าพร้อมระบบจำตำแหน่งเฉพาะฝั่งคนขับ,■,■,-
อุปกรณ์ภายใน,ภายในตกแต่งดีไซน์ M Sport,-,■,■
อุปกรณ์ภายใน,ภายในตกแต่งด้วยสี Dark Silver M ผสมกับอลูมิเนียม ลาย Rhombicle,-,■,-
อุปกรณ์ภายใน,ภายในตกแต่งด้วยสี Dark Silver M ผสมกับ Carbon Fibre ถักด้วยวัสดุสีเงินแบบ M,-,-,■
อุปกรณ์ภายใน,ภายในตกแต่งด้วยสี Dark Silver M ผสมกับ Fine-Wood สี Dark Oak แบบเงา,■,-,-
อุปกรณ์ภายใน,กระจกมองข้างฝั่งคนขับและกระจกมองหลังตัดแสงอัตโนมัติ,■,■,■
อุปกรณ์ภายใน,เพดานหลังคาภายในดีไซน์ M สี Anthracite,-,■,■
อุปกรณ์ภายใน,ชุดไฟส่องสว่างภายในและภายนอกห้องโดยสาร (Ambient Light),■,■,■
อุปกรณ์ภายใน,ภายในตกแต่งด้วยผลึกแก้ว 'CraftedClarity',■,■,■
อุปกรณ์ภายใน,ม่านบังแดดที่ประตูหลังและกระจกหลัง,■,■,■
อุปกรณ์ภายใน,ระบบ Travel & Comfort,■,■,■
อุปกรณ์ภายใน,ระบบปรับอากาศอัตโนมัติแบบ 4 โซน,■,■,■
อุปกรณ์ภายใน,ระบบกล้องภายในรถ,■,■,■
ระบบความบันเทิงและการสื่อสาร,BMW Live Cockpit Professional,■,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบเครื่องเสียง HiFi loudspeaker Harman Kardon,■,■,-
ระบบความบันเทิงและการสื่อสาร,ระบบเสียงรอบทิศทางคุณภาพสูง Bowers & Wilkins,-,-,■
ระบบความบันเทิงและการสื่อสาร,ระบบจำลองเสียงเครื่องยนต์ Iconic sounds electric,■,-,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW ConnectedDrive,■,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW Connected Package Professional,■,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบเชื่อมต่อ Smartphone,■,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบ eSIM ส่วนบุคคล (Personal eSIM),■,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบชาร์จโทรศัพท์แบบไร้สาย,■,■,■
ความปลอดภัย,ถุงลมนิรภัยสำหรับคนขับและผู้โดยสารตอนหน้า,■,■,■
ความปลอดภัย,ถุงลมนิรภัยด้านข้างสำหรับคนขับและผู้โดยสารตอนหน้า,■,■,■
ความปลอดภัย,ถุงลมนิรภัยกลางห้องโดยสาร (บริเวณเบาะคนขับ),■,■,■
ความปลอดภัย,ถุงลมนิรภัยศีรษะสำหรับผู้โดยสารตอนหน้าและหลัง (ยกเว้นผู้โดยสารตอนหลังกลาง),■,■,■
ความปลอดภัย,ระบบ Teleservices,■,■,■
ความปลอดภัย,ปุ่มโทรออกฉุกเฉิน (Intelligent Emergency Call),■,■,■
ความปลอดภัย,ระบบควบคุมเสถียรภาพการขับขี่ (DSC),■,■,■
ความปลอดภัย,ระบบป้องกันล้อล็อกขณะเบรก (ABS),■,■,■
ความปลอดภัย,ระบบช่วยเสริมแรงเบรกอัตโนมัติ (Brake Assist),■,■,■
ความปลอดภัย,ไฟเบรกกระพริบฉุกเฉิน (Dynamic Braking Lights),■,■,■
ความปลอดภัย,ระบบควบคุมการกระจายแรงเบรกขณะเข้าโค้ง (CBC),■,■,■
ความปลอดภัย,เซนเซอร์ควบคุมระบบความปลอดภัยเมื่อเกิดการชน (Crash Sensor),■,■,■
ความปลอดภัย,ระบบ Active Protection,■,■,■
ความปลอดภัย,ระบบช่วยเตือนอาการเหนื่อยล้าขณะขับขี่ (Attentiveness Assistant),■,■,■
ความปลอดภัย,เซนเซอร์ควบคุมระยะการจอดด้านหน้าและหลัง,■,■,■
ความปลอดภัย,ระบบสร้างเสียงจำลอง เตือนผู้ใช้ถนนรอบข้าง,■,-,■
ความปลอดภัย,ระบบตรวจวัดลมยาง,■,■,■
ความปลอดภัย,ชุดปะยางฉุกเฉินรุ่น Plus,■,■,■
ความปลอดภัย,ป้ายสามเหลี่ยมเตือนสะท้อนแสง,■,■,■
ความปลอดภัย,ระบบเตือนรถออกนอกเลนพร้อมช่วยนำรถกลับเข้าเลน,■,■,■
ความปลอดภัย,ระบบเตือนการชนคนเดินถนนและจักรยานด้านหน้าพร้อมระบบช่วยเบรค,■,■,■
ความปลอดภัย,ระบบเตือนการเปลี่ยนเลนพร้อมช่วยนำรถกลับเข้าเลน,■,■,■
ความปลอดภัย,ระบบเตือนการจราจรด้านหลัง,■,■,■
ความปลอดภัย,ระบบป้องกันการชนด้านหลัง,■,■,■
ความปลอดภัย,ระบบช่วยเตือนก่อนออกจากรถ,■,■,■
ความปลอดภัย,ระบบช่วยควบคุมรถให้อยู่ในช่องทางเดินรถ,-,-,■
ความปลอดภัย,ระบบควบคุมความเร็วอัตโนมัติ พร้อมฟังก์ชัน Stop&Go,-,-,■
ความปลอดภัย,ระบบช่วยหยุดรถฉุกเฉิน,-,-,■
ความปลอดภัย,ระบบช่วยเปลี่ยนช่องทางเดินรถ,-,-,■
ความปลอดภัย,ระบบเตือนการจราจรด้านหน้าและหลัง,-,-,■
ความปลอดภัย,ระบบช่วยหลบหลีกฉุกเฉิน,-,-,■
ชุดตกแต่งพิเศษ,ชุดตกแต่ง M Sport,-,■,■
Paintwork / สีตัวถังและวัสดุภายใน,Black Sapphire Metallic,Veganza perforated and quilted - Espresso Brown,Veganza perforated and quilted - Espresso Brown,BMW Individual leather 'Merino' - Copper Brown/Atlas Grey
Paintwork / สีตัวถังและวัสดุภายใน,Mineral White Metallic,Veganza perforated and quilted - Espresso Brown,Veganza perforated and quilted - Espresso Brown,BMW Individual leather 'Merino' - Copper Brown/Atlas Grey
Paintwork / สีตัวถังและวัสดุภายใน,Cape York Green Metallic,Veganza perforated and quilted - Black,Veganza perforated and quilted - Black,BMW Individual leather 'Merino' - Black/Atlas Grey
Paintwork / สีตัวถังและวัสดุภายใน,Oxide Grey Metallic,Veganza perforated and quilted - Espresso Brown,-,-
Paintwork / สีตัวถังและวัสดุภายใน,Brooklyn Grey Metallic,-,Veganza perforated and quilted - Espresso Brown,BMW Individual leather 'Merino' - Copper Brown/Atlas Grey
Paintwork / สีตัวถังและวัสดุภายใน,Phytonic Blue Metallic,-,Veganza perforated and quilted - Black,BMW Individual leather 'Merino' - Black/Atlas Grey
ข้อมูลเอกสารอ้างอิง,วันที่พิมพ์เอกสาร,25 กันยายน 2568,25 กันยายน 2568,25 กันยายน 2568
ข้อมูลเอกสารอ้างอิง,รหัสแพ็กเกจ (Local Pack),"(ZJT, ZKO, ZLE)","(ZJR, ZKP)","(ZJQ, ZLB)"
