Category,Topic,X4 xDrive20d M Sport
ระบบขับเคลื่อนและเทคโนโลยี,ระบบขับเคลื่อนอัจฉริยะ 4 ล้อ xDrive,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบควบคุมการขับขี่ขณะเข้าโค้ง (Performance Control),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบ BMW Head-up Display,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยนำรถเข้าที่จอดอัตโนมัติ รุ่น Plus (Parking Assistant Plus),■
อุปกรณ์ภายนอก,ระบบไฟหน้า LED อัจฉริยะ (Adaptive LED),■
อุปกรณ์ภายนอก,โคมไฟหน้าตกแต่งสีดำ (BMW Individual Lights - Shadow Line),■
อุปกรณ์ภายนอก,ระบบปรับการทำงานไฟสูงอัตโนมัติ (High-beam Assistant),■
อุปกรณ์ภายนอก,คาลิเปอร์เบรกดีไซน์ M Sport,■
อุปกรณ์ภายนอก,ระบบปลดล็อกประตูอัจฉริยะ (Comfort Access System),■
อุปกรณ์ภายนอก,หลังคากระจก Panorama เปิด-ปิดด้วยระบบไฟฟ้า,■
อุปกรณ์ภายนอก,ชุดตกแต่ง M Aerodynamics,■
อุปกรณ์ภายนอก,ภายนอกตกแต่งด้วยวัสดุสีดำเงา,■
อุปกรณ์ภายนอก,ภายนอกพร้อมชุดแต่งตกแต่งด้วยวัสดุสีดำเงา,■
อุปกรณ์ภายนอก,ราวหลังคาสีดำเงา,■
อุปกรณ์ภายใน,กระจกมองหลังตัดแสงอัตโนมัติ,■
อุปกรณ์ภายใน,กระจกมองข้างและกระจกมองหลังตัดแสงอัตโนมัติ,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าปรับไฟฟ้าพร้อมระบบจำตำแหน่งเฉพาะฝั่งคนขับ,■
อุปกรณ์ภายใน,พนักพิงหลังปรับความกว้างได้,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าดีไซน์ Sport,■
อุปกรณ์ภายใน,พวงมาลัยหุ้มหนังดีไซน์ M Sport,■
อุปกรณ์ภายใน,คอนโซลด้านบนบุด้วยหนัง Sensatec,■
อุปกรณ์ภายใน,ชุดไฟส่องสว่างภายในและภายนอกห้องโดยสาร (Ambient Light),■
อุปกรณ์ภายใน,เพดานหลังคาภายในสี Anthracite,■
อุปกรณ์ภายใน,ภายในตกแต่งดีไซน์ M ด้วยวัสดุ Carbon Fibre,■
อุปกรณ์ภายใน,ระบบปรับอากาศอัตโนมัติแบบ 3 โซน,■
อุปกรณ์ภายใน,ฟังก์ชันช่วยการจัดเก็บสัมภาระ,■
ระบบความบันเทิงและการสื่อสาร,BMW Live Cockpit Professional,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW ConnectedDrive,■
ระบบความบันเทิงและการสื่อสาร,ฟังก์ชันสั่งงานระบบ iDrive ด้วยการเคลื่อนไหวมือ (BMW Gesture Control),■
ระบบความบันเทิงและการสื่อสาร,ระบบเครื่องเสียงรอบทิศทาง Harman Kardon,■
ระบบความบันเทิงและการสื่อสาร,ระบบเชื่อมต่อ Smartphone,■
ความปลอดภัย,ถุงลมนิรภัยสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยด้านข้างสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยศีรษะสำหรับผู้โดยสารตอนหน้าและหลัง (ยกเว้นผู้โดยสารตอนหลังกลาง),■
ความปลอดภัย,ระบบ Teleservices,■
ความปลอดภัย,ปุ่มโทรออกฉุกเฉิน (Intelligent Emergency Call),■
ความปลอดภัย,ระบบควบคุมเสถียรภาพการขับขี่ (DSC),■
ความปลอดภัย,ระบบควบคุมการยึดเกาะถนน (DTC),■
ความปลอดภัย,ระบบป้องกันล้อล็อกขณะเบรก (ABS),■
ความปลอดภัย,เซนเซอร์ควบคุมระบบความปลอดภัยเมื่อเกิดการชน (Crash Sensor),■
ความปลอดภัย,ระบบป้องกันการกระแทกจากด้านข้าง (Side Impact Protection),■
ความปลอดภัย,ระบบ Active Protection,■
ความปลอดภัย,ระบบเตือนสถานะของยาง (Runflat Indicator),■
ความปลอดภัย,ระบบปกป้องคนเดินถนนเมื่อเกิดอุบัติเหตุ,■
ความปลอดภัย,กล้องแสดงภาพรอบทิศทาง (Surround View Camera),■
ชุดตกแต่งพิเศษ,ชุดตกแต่ง M Sport,■
Paintwork,Alpine White Solid,Leather 'Vernasca' - Tacora Red decor stitching
Paintwork,Black Sapphire Metallic,Leather 'Vernasca' - Tacora Red decor stitching
Paintwork,Brooklyn Grey Metallic,Leather 'Vernasca' - Tacora Red decor stitching
Paintwork,Phytonic Blue Metallic,Leather 'Vernasca' - Black decor stitching
Paintwork,Piemont Red Metallic,Leather 'Vernasca' - Black decor stitching
หมายเหตุ,"* รับสิทธิ์เลือกแพคเกจการรับประกันนานสูงสุด 5 ปี ไม่จำกัดระยะทางและการบริการดูแลบำรุงรักษาสูงสุด 5 ปี หรือ 100,000 กม. (แล้วแต่ระยะใดถึงก่อน)",■
หมายเหตุ,"บริษัทฯ ขอสงวนสิทธิ์ในการเปลี่ยนแปลงข้อมูลไม่ว่าจะเป็นข้อกำหนดเรื่องรายละเอียด, สเปค และรุ่น ณ เวลาใดๆ โดยไม่ต้องบอกกล่าวล่วงหน้า และไม่จัดอยู่ในความรับผิดชอบในกรณีที่มีการผิดพลาดทางการพิมพ์",■
ข้อมูลเอกสารอ้างอิง,วันที่พิมพ์เอกสาร,15 มกราคม  2568
ข้อมูลเอกสารอ้างอิง,รหัสแพ็กเกจ (Local Pack),"(ZCT, Z2C, Z2D, ZEX, ZFS, ZIK, Z3Y, Z5D, Z8T)"
