Category,Topic,M5
ระบบขับเคลื่อนและเทคโนโลยี,โหมดการขับขี่ M Drive Professional,■
ระบบขับเคลื่อนและเทคโนโลยี,ช่วงล่าง Adaptive M,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบปรับองศาของล้อหลังเพื่อการเข้าโค้งหรือเลี้ยว (Integral Active Steering),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่ รุ่น Professional (Driving Assistant Professional) พร้อมระบบควบคุมความเร็วอัตโนมัติพร้อมฟังก์ชั่น Stop&Go,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยนำรถเข้าที่จอดอัตโนมัติ รุ่น Professional (Parking Assistant Professional),■
อุปกรณ์ภายนอก,ระบบไฟหน้า LED อัจฉริยะ (Adaptive LED),■
อุปกรณ์ภายนอก,ชุดตกแต่งภายนอกแบบ Iconic Glow,■
อุปกรณ์ภายนอก,ระบบเปิด-ปิดบานประตูท้ายอัตโนมัติด้วยระบบไฟฟ้า,■
อุปกรณ์ภายนอก,ระบบปลดล็อกประตูอัจฉริยะ (Comfort Access System),■
อุปกรณ์ภายนอก,ชุดตกแต่งภายนอก M Carbon,■
อุปกรณ์ภายนอก,ชุดเบรก M compound brake,■
อุปกรณ์ภายนอก,โคมไฟหน้าตกแต่งดีไซน์ M สีดำ (M Lights Shadow Line),■
อุปกรณ์ภายนอก,ภายนอกตกแต่งด้วยชุดแต่ง M สีดำเงา,■
อุปกรณ์ภายนอก,ภายนอกพร้อมชุดแต่ง M ตกแต่งด้วยวัสดุสีดำเงา,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าแบบ Multifunctional,■
อุปกรณ์ภายใน,เข็มขัดนิรภัยดีไซน์ M,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าปรับไฟฟ้าพร้อมระบบจำตำแหน่งเฉพาะฝั่งคนขับ,■
อุปกรณ์ภายใน,ระบบระบายอากาศสำหรับเบาะนั่งตอนหน้า,■
อุปกรณ์ภายใน,ภายในตกแต่งด้วยสี Dark Silver M ผสมกับ Carbon Fibre ถักด้วยวัสดุสีเงินแบบ M,■
อุปกรณ์ภายใน,ม่านบังแดดที่ประตูหลังและกระจกหลัง,■
อุปกรณ์ภายใน,ระบบปรับอากาศอัตโนมัติแบบ 4 โซน,■
อุปกรณ์ภายใน,ระบบ Travel & Comfort,■
อุปกรณ์ภายใน,ชุดไฟส่องสว่างภายในและภายนอกห้องโดยสาร (Ambient Light),■
อุปกรณ์ภายใน,ระบบกล้องภายในรถ,■
อุปกรณ์ภายใน,เพดานหลังคาภายในดีไซน์ M บุด้วยวัสดุ Alcantara สี Anthracite,■
ระบบความบันเทิงและการสื่อสาร,BMW Live Cockpit Professional,■
ระบบความบันเทิงและการสื่อสาร,ระบบเสียงรอบทิศทางคุณภาพสูง Bowers & Wilkins,■
ระบบความบันเทิงและการสื่อสาร,ระบบจำลองเสียงเครื่องยนต์ Iconic sounds electric,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW ConnectedDrive,■
ระบบความบันเทิงและการสื่อสาร,ระบบ Connected Package Professional,■
ระบบความบันเทิงและการสื่อสาร,ระบบเชื่อมต่อ Smartphone,■
ระบบความบันเทิงและการสื่อสาร,ระบบ eSIM ส่วนบุคคล (Personal eSIM),■
ระบบความบันเทิงและการสื่อสาร,ระบบชาร์จโทรศัพท์แบบไร้สาย,■
ความปลอดภัย,ถุงลมนิรภัยสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยด้านข้างสำหรับคนขับและผู้โดยสาร,■
ความปลอดภัย,ถุงลมนิรภัยด้านข้างสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยกลางห้องโดยสาร (บริเวณเบาะคนขับ),■
ความปลอดภัย,ระบบ Teleservices,■
ความปลอดภัย,ปุ่มโทรออกฉุกเฉิน (Intelligent Emergency Call),■
ความปลอดภัย,ระบบควบคุมเสถียรภาพการขับขี่ (DSC),■
ความปลอดภัย,ระบบป้องกันล้อล็อกขณะเบรก (ABS),■
ความปลอดภัย,เซนเซอร์ควบคุมระบบความปลอดภัยเมื่อเกิดการชน (Crash Sensor),■
ความปลอดภัย,ตัวยึดคาร์ซีทสำหรับเด็ก ISOFIX,■
ความปลอดภัย,ระบบสร้างเสียงจำลองเตือนผู้ใช้ถนนรอบข้าง,■
ความปลอดภัย,ระบบตรวจวัดลมยาง,■
ความปลอดภัย,ชุดปะยางฉุกเฉิน,■
ความปลอดภัย,ป้ายสามเหลี่ยมเตือนสะท้อนแสง,■
ข้อมูลเอกสารอ้างอิง,วันที่พิมพ์เอกสาร,30 มกราคม 2568
ข้อมูลเอกสารอ้างอิง,รหัสแพ็กเกจ (Local Pack),"(Z6N, Z8P, Z9N)"
หมายเหตุ,¹ ระยะทางขึ้นอยู่กับพฤติกรรมการขับขี่ของแต่ละบุคคล ลักษณะเส้นทาง อุณหภูมิภายนอก และการควบคุมระบบปรับอากาศ,-
หมายเหตุ,"² ความเร็วสูงสุด จะถูกปลดล็อคเมื่อรถได้ผ่านช่วงรันอินเป็นระยะทาง 2,000 กม. และได้รับการตรวจสภาพที่ผู้แทนจำหน่ายอย่างเป็นทางการเมื่อครบระยะรันอิน",-
หมายเหตุ,³ ติดต่อสอบถามราคาและข้อมูลของตัวเลือกพิเศษเพิ่มเติมได้ที่ผู้จำหน่ายบีเอ็มดับเบิลยูอย่างเป็นทางการ,-
หมายเหตุ,"* รับสิทธิ์เลือกแพคเกจการรับประกันนานสูงสุด 5 ปี ไม่จำกัดระยะทาง และการบริการดูแลบำรุงรักษาสูงสุด 5 ปี หรือ 100,000 กม. (แล้วแต่ระยะใดถึงก่อน) บริษัทฯ ขอสงวนสิทธิ์ในการเปลี่ยนแปลงข้อมูล ไม่ว่าจะเป็นข้อกำหนดเรื่องรายละเอียด, สเปค และรุ่น ณ เวลาใดๆ โดยไม่ต้องบอกกล่าวล่วงหน้า และไม่จัดอยู่ในความรับผิดชอบในกรณีที่มีการผิดพลาดทางการพิมพ์",-
แพ็กเกจ,แพ็กเกจ M Driver's,■
ตัวเลือกพิเศษเพิ่มเติม,ชุดเบรค M Carbon ceramic³,■
